-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/27/2024 through 10/01/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI
37.25,-96.25,2024,272,-999.0,16.39,-999.0
37.25,-95.75,2024,272,-999.0,16.52,-999.0
37.25,-95.25,2024,272,-999.0,16.52,-999.0
37.25,-94.75,2024,272,-999.0,17.24,-999.0
37.75,-101.75,2024,272,20.3,20.16,-999.0
37.75,-101.25,2024,272,20.3,20.16,-999.0
37.75,-100.75,2024,272,20.15,20.09,-999.0
37.75,-100.25,2024,272,20.15,20.09,-999.0
37.75,-99.75,2024,272,20.03,19.85,-999.0
37.75,-99.25,2024,272,20.03,19.85,-999.0
37.75,-98.75,2024,272,19.84,19.5,-999.0
37.75,-98.25,2024,272,19.84,19.5,-999.0
37.75,-97.75,2024,272,-999.0,17.2,-999.0
37.75,-97.25,2024,272,-999.0,17.2,-999.0
37.75,-96.75,2024,272,-999.0,16.39,-999.0
37.75,-96.25,2024,272,-999.0,16.39,-999.0
37.75,-95.75,2024,272,-999.0,16.52,-999.0
37.75,-95.25,2024,272,-999.0,16.52,-999.0
37.75,-94.75,2024,272,-999.0,17.24,-999.0
38.25,-101.75,2024,272,19.99,19.79,-999.0
38.25,-101.25,2024,272,19.99,19.79,-999.0
38.25,-100.75,2024,272,19.79,19.61,-999.0
38.25,-100.25,2024,272,19.79,19.61,-999.0
38.25,-99.75,2024,272,19.68,19.57,-999.0
38.25,-99.25,2024,272,19.68,19.57,-999.0
38.25,-98.75,2024,272,-999.0,19.27,-999.0
38.25,-98.25,2024,272,-999.0,19.27,-999.0
38.25,-97.75,2024,272,-999.0,17.96,-999.0
38.25,-97.25,2024,272,-999.0,17.96,-999.0
38.25,-96.75,2024,272,-999.0,16.46,-999.0
38.25,-96.25,2024,272,-999.0,16.46,-999.0
38.25,-95.75,2024,272,-999.0,16.8,-999.0
38.25,-95.25,2024,272,-999.0,16.8,-999.0
38.25,-94.75,2024,272,-999.0,17.14,-999.0
38.75,-101.75,2024,272,19.99,19.79,-999.0
38.75,-101.25,2024,272,19.99,19.79,-999.0
38.75,-100.75,2024,272,19.79,19.61,-999.0
38.75,-100.25,2024,272,19.79,19.61,-999.0
38.75,-99.75,2024,272,19.68,19.57,-999.0
38.75,-99.25,2024,272,19.68,19.57,-999.0
38.75,-98.75,2024,272,-999.0,19.27,-999.0
38.75,-98.25,2024,272,-999.0,19.27,-999.0
38.75,-97.75,2024,272,-999.0,17.96,-999.0
38.75,-97.25,2024,272,-999.0,17.96,-999.0
38.75,-96.75,2024,272,-999.0,16.46,-999.0
38.75,-96.25,2024,272,-999.0,16.46,-999.0
38.75,-95.75,2024,272,-999.0,16.8,-999.0
38.75,-95.25,2024,272,-999.0,16.8,-999.0
38.75,-94.75,2024,272,-999.0,17.14,-999.0
39.25,-101.75,2024,272,19.64,19.44,-999.0
39.25,-101.25,2024,272,19.64,19.44,-999.0
39.25,-100.75,2024,272,19.42,19.33,-999.0
39.25,-100.25,2024,272,19.42,19.33,-999.0
39.25,-99.75,2024,272,19.28,19.13,-999.0
39.25,-99.25,2024,272,19.28,19.13,-999.0
39.25,-98.75,2024,272,19.16,18.96,-999.0
39.25,-98.25,2024,272,19.16,18.96,-999.0
39.25,-97.75,2024,272,-999.0,18.37,-999.0
39.25,-97.25,2024,272,-999.0,18.37,-999.0
39.25,-96.75,2024,272,-999.0,17.0,-999.0
39.25,-96.25,2024,272,-999.0,17.0,-999.0
39.25,-95.75,2024,272,-999.0,16.89,-999.0
39.25,-95.25,2024,272,-999.0,16.89,-999.0
39.25,-94.75,2024,272,-999.0,17.78,-999.0
39.75,-101.75,2024,272,19.64,19.44,-999.0
39.75,-101.25,2024,272,19.64,19.44,-999.0
39.75,-100.75,2024,272,19.42,19.33,-999.0
39.75,-100.25,2024,272,19.42,19.33,-999.0
39.75,-99.75,2024,272,19.28,19.13,-999.0
39.75,-99.25,2024,272,19.28,19.13,-999.0
39.75,-98.75,2024,272,19.16,18.96,-999.0
39.75,-98.25,2024,272,19.16,18.96,-999.0
39.75,-97.75,2024,272,-999.0,18.37,-999.0
39.75,-97.25,2024,272,-999.0,18.37,-999.0
39.75,-96.75,2024,272,-999.0,17.0,-999.0
39.75,-96.25,2024,272,-999.0,17.0,-999.0
39.75,-95.75,2024,272,-999.0,16.89,-999.0
39.75,-95.25,2024,272,-999.0,16.89,-999.0
39.75,-94.75,2024,272,-999.0,17.78,-999.0
36.75,-101.75,2024,273,20.59,20.45,-999.0
36.75,-101.25,2024,273,20.59,20.45,-999.0
36.75,-100.75,2024,273,20.33,20.19,-999.0
36.75,-100.25,2024,273,20.33,20.19,-999.0
36.75,-99.75,2024,273,20.22,20.03,-999.0
36.75,-99.25,2024,273,20.22,20.03,-999.0
36.75,-98.75,2024,273,20.09,19.85,-999.0
36.75,-98.25,2024,273,20.09,19.85,-999.0
36.75,-97.75,2024,273,19.89,19.74,-999.0
36.75,-97.25,2024,273,19.89,19.74,-999.0
36.75,-96.75,2024,273,19.73,19.55,-999.0
36.75,-96.25,2024,273,19.73,19.55,-999.0
36.75,-95.75,2024,273,19.7,19.47,-999.0
